embedding_base,index_type,query_order,dynamic,static,delta_dynamic_static,dynamic_better,static_better,tie
MPNet,HNSW,80,3.2,3.6,-0.3999999999999999,False,True,False
MPNet,HNSW,81,3.1,3.9,-0.7999999999999998,False,True,False
MPNet,HNSW,82,3.7,3.4,0.30000000000000027,True,False,False
MPNet,HNSW,83,2.6,1.6,1.0,True,False,False
MPNet,HNSW,84,4.1,3.4,0.6999999999999997,True,False,False
MPNet,HNSW,85,5.0,5.0,0.0,False,False,True
MPNet,HNSW,86,3.6,2.7,0.8999999999999999,True,False,False
MPNet,HNSW,87,2.5,3.8,-1.2999999999999998,False,True,False
MPNet,HNSW,88,3.6,3.9,-0.2999999999999998,False,True,False
MPNet,HNSW,89,2.5,1.8,0.7,True,False,False
MPNet,HNSW,90,4.0,3.2,0.7999999999999998,True,False,False
MPNet,HNSW,91,2.7,3.0,-0.2999999999999998,False,True,False
MPNet,HNSW,92,2.9,3.3,-0.3999999999999999,False,True,False
MPNet,HNSW,93,4.1,2.8,1.2999999999999998,True,False,False
MPNet,HNSW,94,2.7,3.0,-0.2999999999999998,False,True,False
MPNet,HNSW,95,3.7,3.3,0.40000000000000036,True,False,False
MPNet,HNSW,96,3.3,3.3,0.0,False,False,True
MPNet,HNSW,97,2.9,4.9,-2.0000000000000004,False,True,False
MPNet,HNSW,98,1.7,2.8,-1.0999999999999999,False,True,False
MPNet,HNSW,99,4.0,3.4,0.6000000000000001,True,False,False
MPNet,IVF,0,3.5,2.9,0.6000000000000001,True,False,False
MPNet,IVF,1,4.1,3.4,0.6999999999999997,True,False,False
MPNet,IVF,2,3.3,3.4,-0.10000000000000009,False,True,False
MPNet,IVF,3,3.8,3.2,0.5999999999999996,True,False,False
MPNet,IVF,4,2.5,4.6,-2.0999999999999996,False,True,False
MPNet,IVF,5,3.6,3.3,0.30000000000000027,True,False,False
MPNet,IVF,6,5.0,5.0,0.0,False,False,True
MPNet,IVF,7,2.7,3.9,-1.1999999999999997,False,True,False
MPNet,IVF,8,2.2,4.0,-1.7999999999999998,False,True,False
MPNet,IVF,9,4.0,3.9,0.10000000000000009,True,False,False
MPNet,IVF,10,5.0,3.2,1.7999999999999998,True,False,False
MPNet,IVF,11,4.5,4.0,0.5,True,False,False
MPNet,IVF,12,3.1,3.1,0.0,False,False,True
MPNet,IVF,13,3.7,3.0,0.7000000000000002,True,False,False
MPNet,IVF,14,3.5,4.2,-0.7000000000000002,False,True,False
MPNet,IVF,15,4.0,3.4,0.6000000000000001,True,False,False
MPNet,IVF,16,3.9,2.5,1.4,True,False,False
MPNet,IVF,17,3.1,3.0,0.10000000000000009,True,False,False
MPNet,IVF,18,3.7,2.5,1.2000000000000002,True,False,False
MPNet,IVF,19,2.8,3.2,-0.40000000000000036,False,True,False
MPNet,IVF,20,4.7,3.9,0.8000000000000003,True,False,False
MPNet,IVF,21,3.0,2.2,0.7999999999999998,True,False,False
MPNet,IVF,22,2.6,3.6,-1.0,False,True,False
MPNet,IVF,23,4.0,4.2,-0.20000000000000018,False,True,False
MPNet,IVF,24,2.2,4.4,-2.2,False,True,False
MPNet,IVF,25,3.9,2.9,1.0,True,False,False
MPNet,IVF,26,2.8,3.5,-0.7000000000000002,False,True,False
MPNet,IVF,27,4.1,3.8,0.2999999999999998,True,False,False
MPNet,IVF,28,3.7,3.3,0.40000000000000036,True,False,False
MPNet,IVF,29,1.9,3.6,-1.7000000000000002,False,True,False
MPNet,IVF,30,2.5,2.3,0.20000000000000018,True,False,False
MPNet,IVF,31,2.3,2.9,-0.6000000000000001,False,True,False
MPNet,IVF,32,4.4,4.2,0.20000000000000018,True,False,False
MPNet,IVF,33,2.2,4.0,-1.7999999999999998,False,True,False
MPNet,IVF,34,2.0,1.9,0.10000000000000009,True,False,False
MPNet,IVF,35,2.9,1.3,1.5999999999999999,True,False,False
MPNet,IVF,36,3.4,3.2,0.19999999999999973,True,False,False
MPNet,IVF,37,2.5,3.5,-1.0,False,True,False
MPNet,IVF,38,2.6,2.9,-0.2999999999999998,False,True,False
MPNet,IVF,39,3.5,1.8,1.7,True,False,False
MPNet,IVF,40,3.4,3.3,0.10000000000000009,True,False,False
MPNet,IVF,41,5.0,5.0,0.0,False,False,True
MPNet,IVF,42,3.1,4.0,-0.8999999999999999,False,True,False
MPNet,IVF,43,4.0,3.5,0.5,True,False,False
MPNet,IVF,44,3.3,3.0,0.2999999999999998,True,False,False
MPNet,IVF,45,3.0,4.7,-1.7000000000000002,False,True,False
MPNet,IVF,46,2.1,3.4,-1.2999999999999998,False,True,False
MPNet,IVF,47,3.3,3.7,-0.40000000000000036,False,True,False
MPNet,IVF,48,2.9,4.5,-1.6,False,True,False
MPNet,IVF,49,3.6,3.3,0.30000000000000027,True,False,False
MPNet,IVF,50,4.1,2.5,1.5999999999999996,True,False,False
MPNet,IVF,51,3.3,3.0,0.2999999999999998,True,False,False
MPNet,IVF,52,3.6,3.9,-0.2999999999999998,False,True,False
MPNet,IVF,53,3.6,3.7,-0.10000000000000009,False,True,False
MPNet,IVF,54,2.3,3.5,-1.2000000000000002,False,True,False
MPNet,IVF,55,2.8,4.8,-2.0,False,True,False
MPNet,IVF,56,3.5,3.8,-0.2999999999999998,False,True,False
MPNet,IVF,57,2.3,3.0,-0.7000000000000002,False,True,False
MPNet,IVF,58,2.4,3.3,-0.8999999999999999,False,True,False
MPNet,IVF,59,2.7,3.5,-0.7999999999999998,False,True,False
MPNet,IVF,60,3.3,3.2,0.09999999999999964,True,False,False
MPNet,IVF,61,3.2,3.8,-0.5999999999999996,False,True,False
