embedding_base,index_type,n_queries,mean_static_mss_at10,mean_dynamic_mss_at10,mean_delta_dynamic_static,median_delta_dynamic_static,sd_delta_dynamic_static,n_dynamic_better,n_static_better,n_ties,pct_dynamic_better,pct_static_better,pct_ties,wilcoxon_statistic,wilcoxon_p_value
Dialog2Flow,HNSW,100,3.377,3.664,0.287,0.3,0.7279,67,24,9,0.67,0.24,0.09,1031.5,0.0
Dialog2Flow,IVF,100,3.401,3.672,0.271,0.25,0.7428,63,26,11,0.63,0.26,0.11,1006.0,0.0
Dialog2Flow,IVFPQ,100,3.315,3.593,0.278,0.2,0.8097,57,35,8,0.57,0.35,0.08,1329.0,0.0016
